Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price,Tax
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,Mumbai,2014,95000,Diesel,Manual,Second,12.8,2494,102,8,3.31,9.45
Mercedes-Benz CLA 200 CDI Sport,Coimbatore,2017,13689,Diesel,Automatic,First,17.9,2143,136,5,99.68,28.25
Hyundai i10 Era,Jaipur,2008,84000,Petrol,Manual,Second,19.81,1086,68.05,5,29.85,1.8
Maruti Swift Dzire VXi,Kolkata,2008,47000,Petrol,Manual,Second,17.5,1298,85.8,5,37.54,1.4
Skoda Rapid 1.5 TDI AT Ambition,Ahmedabad,2015,60001,Diesel,Automatic,First,21.66,1498,103.52,5,56.61,7.25
Maruti Ritz VDi,Hyderabad,2012,96000,Diesel,Manual,First,21.1,1248,73.9,5,61.9,3.6
Hyundai Accent GLS 1.6,Jaipur,2004,47300,Petrol,Manual,Second,14.4,1599,94,5,46.39,1.2
Honda Amaze SX i-VTEC,Coimbatore,2014,28246,Petrol,Manual,Second,17.8,1198,86.7,5,50.5,4.94
Maruti Wagon R LXI,Delhi,2007,65000,Petrol,Manual,Second,18.9,998,67.1,5,33.03,1.25
Volkswagen Polo Diesel Comfortline 1.2L,Chennai,2013,68000,Diesel,Manual,Second,22.07,1199,73.9,5,5.64,4.8
Ford Endeavour 2.2 Trend AT 4X2,Kochi,2019,11209,Diesel,Automatic,First,12.62,2198,158,7,78.66,31.15
Hyundai i20 1.2 Sportz,Pune,2011,41980,Petrol,Manual,Second,17,1197,80,5,88.78,3.3
Chevrolet Beat Diesel PS,Bangalore,2012,65000,Diesel,Manual,First,25.44,936,57.6,5,79.56,2.4
Honda Civic 2010-2013 1.8 V MT,Kolkata,2010,38000,Petrol,Manual,First,14.8,1799,130.2,5,75.97,2
Maruti Wagon R VXI BS IV,Pune,2014,51000,Petrol,Manual,First,20.51,998,67.04,5,26.89,3.1
Skoda Rapid 1.6 MPI Ambition Plus,Kochi,2014,33855,Petrol,Manual,First,15,1598,103.6,5,85.72,5.09
Maruti Baleno Vxi - BSIII,Pune,2006,146000,Petrol,Manual,Second,15.4,1590,94,5,49.75,1.05
Ford EcoSport 1.5 TDCi Titanium,Bangalore,2015,47037,Diesel,Manual,Second,22.77,1498,98.59,5,29.71,7
Hyundai Accent GLE,Ahmedabad,2010,58000,Petrol,Manual,Second,13.2,1495,94,5,19.55,2.5
BMW 5 Series 520d Luxury Line,Mumbai,2012,61240,Diesel,Automatic,First,22.48,1995,190,5,86.93,17.5
Maruti Alto K10 2010-2014 VXI,Chennai,2011,91211,Petrol,Manual,First,20.92,998,67.1,5,24.61,2.1
Audi Q3 2012-2015 2.0 TDI Quattro Premium Plus,Bangalore,2013,84000,Diesel,Automatic,First,15.73,1968,174.33,5,29.28,17.75
Maruti Wagon R LXI DUO BSIII,Mumbai,2008,64226,LPG,Manual,First,17.3,1061,57.5,5,0.72,1.45
Toyota Corolla H4,Bangalore,2005,67000,Petrol,Automatic,Second,11.3,1794,125,5,4.14,2.45
Volvo XC60 D5,Pune,2011,106976,Diesel,Automatic,First,13.5,2400,215,5,6.28,13.8
Honda Jazz 1.5 VX i DTEC,Kolkata,2016,27210,Diesel,Manual,First,27.3,1498,98.6,5,7.25,5.85
Maruti Ciaz 1.3 Alpha,Delhi,2017,26322,Diesel,Manual,First,28.09,1248,88.5,5,55.2,8.9
Maruti Swift VXI BSIV,Mumbai,2016,9107,Petrol,Manual,First,20.4,1197,81.8,5,3.32,5.15
Mercedes-Benz New C-Class C 220 CDI Avantgarde,Kochi,2015,63983,Diesel,Automatic,First,19.27,2143,170,5,64.08,16.56
Maruti Wagon R VXI Minor,Chennai,2010,134000,Petrol,Manual,Second,18.9,1061,67,5,77.88,1.65
Mercedes-Benz A Class A180 Sport,Pune,2015,11000,Petrol,Automatic,First,15.5,1595,120.7,5,84.67,16
Hyundai Santro Xing GL,Pune,2008,93000,Petrol,Manual,First,0,1086,62,5,94.07,1.45
Maruti Swift Dzire AMT ZDI,Coimbatore,2017,24852,Diesel,Automatic,First,26.59,1248,74,5,81.01,8.08
Hyundai Grand i10 AT Asta,Pune,2014,37632,Petrol,Automatic,First,18.9,1197,82,5,3.2,4.5
Nissan Sunny 2011-2014 XV Special Edition,Chennai,2013,55000,Petrol,Manual,Second,16.95,1498,97.7,5,15.36,4.3
Maruti A-Star Lxi,Hyderabad,2010,81448,Petrol,Manual,First,19,998,66.1,5,31.73,2.6
Renault KWID RXT Optional,Hyderabad,2018,1900,Petrol,Manual,First,25.17,799,53.3,5,58.23,4.45
Hyundai Verna 1.6 SX VTVT (O) AT,Coimbatore,2012,54957,Petrol,Automatic,First,17.1,1591,121.4,5,14.81,5.37
Maruti Wagon R LXI Minor,Chennai,2008,55000,Petrol,Manual,Second,18.9,1061,67,5,49.23,1.75
BMW 3 Series 320d Sport Line,Kolkata,2013,21983,Diesel,Automatic,First,18.88,1995,184,5,58.34,16.5
BMW 5 Series 2003-2012 520d,Delhi,2013,76000,Diesel,Automatic,First,18.48,1995,177,5,39.86,19
Tata Indigo CS eVX,Jaipur,2016,65000,Diesel,Manual,First,25,1396,69.01,5,92.33,2.8
Hyundai i20 Sportz 1.4 CRDi,Hyderabad,2015,26000,Diesel,Manual,First,22.54,1396,88.73,5,95.1,6.2
Maruti Omni E MPI STD BS IV,Kochi,2019,11571,Petrol,Manual,First,16.8,796,34.2,8,91.64,3.8
Maruti Swift ZDi,Hyderabad,2014,81000,Diesel,Manual,First,25.2,1248,74,5,0.32,6.1
Ford Ecosport Signature Edition Diesel,Coimbatore,2019,23154,Diesel,Manual,First,23,1498,98.96,5,89.55,11.65
Honda Brio VX AT,Mumbai,2014,26856,Petrol,Automatic,First,16.5,1198,86.8,5,33.92,4.15
Toyota Innova Crysta 2.4 GX MT,Chennai,2017,67489,Diesel,Manual,First,13.68,2393,147.8,7,14.4,16.5
Mahindra Scorpio 2.6 LX,Bangalore,2008,176000,Diesel,Manual,Second,10.5,2179,120,8,39.05,4.3
Hyundai i20 1.2 Magna,Kolkata,2010,18000,Petrol,Manual,First,18.5,1197,80,5,23.42,2.25
Hyundai Verna 1.6 SX,Ahmedabad,2014,63003,Diesel,Manual,First,22.32,1582,126.32,5,28.01,6.75
Mahindra XUV500 W6 2WD,Chennai,2014,80000,Diesel,Manual,First,15.1,2179,140,7,6.29,9.4
Volkswagen Vento 1.5 TDI Comfortline,Coimbatore,2014,56658,Diesel,Manual,First,20.64,1498,108.5,5,52.71,5.39
Maruti Swift Dzire VDI Optional,Kochi,2019,18592,Diesel,Manual,First,26.59,1248,74,5,22.14,8.51
Tata Manza Aura Safire BS IV,Pune,2010,75695,Petrol,Manual,First,13.7,1368,88.8,5,77.16,1.85
Maruti Swift VDI,Kolkata,2012,82000,Diesel,Manual,Second,22.9,1248,74,5,97.71,2.5
Volkswagen Polo Diesel Highline 1.2L,Chennai,2013,60000,Diesel,Manual,First,22.07,1199,73.9,5,0.24,4.75
Honda City 1.5 V MT,Pune,2009,138000,Petrol,Manual,Second,17,1497,118,5,11.68,3.5
Hyundai i20 Asta (o) 1.4 CRDi (Diesel),Bangalore,2014,67000,Diesel,Manual,First,23,1396,90,5,78.64,5.5
Honda City 1.5 V MT,Coimbatore,2012,42750,Petrol,Manual,First,17,1497,118,5,76.93,6.33
Chevrolet Beat Diesel,Kochi,2014,52398,Diesel,Manual,First,25.44,936,57.6,5,41.01,2.47
Chevrolet Spark 1.0 LS,Kochi,2014,36657,Petrol,Manual,First,16.2,995,62.1,5,72.5,3.3
Tata New Safari DICOR 2.2 EX 4x2,Delhi,2011,77000,Diesel,Manual,Second,11.57,2179,138.1,7,99.26,3.5
Mercedes-Benz GL-Class 350 CDI Blue Efficiency,Delhi,2014,85000,Diesel,Automatic,First,11.3,2987,254.8,7,24.11,38.75
BMW 5 Series 2003-2012 530d Highline,Pune,2008,112500,Diesel,Automatic,First,11.5,2993,235,5,68.57,7.99
Toyota Fortuner 2.8 4WD MT,Kochi,2013,105072,Diesel,Manual,First,14.24,2755,174.5,7,18,13.28
BMW X1 sDrive 18i,Pune,2012,80000,Petrol,Automatic,First,11.25,1995,150,5,56.52,9.5
Renault Captur 1.5 Diesel Platine Mono,Kochi,2019,3102,Diesel,Manual,First,20.37,1461,108.45,5,61.64,14.01
Hyundai Xcent 1.1 CRDi S,Coimbatore,2016,14656,Diesel,Manual,First,24.4,1120,71,5,14.37,6.99
BMW 3 Series 320d,Hyderabad,2010,105000,Diesel,Automatic,Second,13.2,1995,170,5,18.99,11
BMW 5 Series 2010-2013 525i,Hyderabad,2008,61000,Petrol,Automatic,Second,10.8,2497,215,5,21.1,11
Nissan Micra XE,Pune,2010,85046,Petrol,Manual,Second,18.06,1198,75,5,16.4,2.3
Jaguar XF 2.2 Litre Luxury,Delhi,2014,48000,Diesel,Automatic,First,16.36,2179,187.7,5,50.65,26.5
Land Rover Range Rover TDV8 (Diesel),Bangalore,2011,55000,Diesel,Automatic,First,10.2,4367,308,7,82.57,67
Jeep Compass 1.4 Limited Option,Mumbai,2017,4000,Petrol,Automatic,First,16,1368,160,5,10.58,17.75
Honda CR-V 2.4 AT,Delhi,2010,94000,Petrol,Automatic,Second,10.1,2354,152,5,75.7,4.8
Maruti Swift VXI,Coimbatore,2013,61110,Petrol,Manual,First,18.6,1197,85.8,5,68.34,4.57
Hyundai Xcent 1.1 CRDi S,Chennai,2016,80000,Diesel,Manual,First,24.4,1120,71,5,12.98,3.5
Nissan Terrano XV Premium 110 PS,Kochi,2015,43190,Diesel,Manual,First,19.01,1461,108.5,5,46.08,7.61
Audi A4 35 TDI Technology,Hyderabad,2015,45000,Diesel,Automatic,First,18.25,1968,187.74,5,26.19,25
Hyundai Grand i10 Asta Option,Coimbatore,2016,44178,Petrol,Manual,First,18.9,1197,82,5,78.51,5.88
Toyota Innova 2.5 G (Diesel) 8 Seater,Hyderabad,2015,84415,Diesel,Manual,First,12.99,2494,100.6,8,10.42,13.5
Hyundai i20 1.2 Magna,Kolkata,2015,35000,Petrol,Manual,First,18.5,1197,80,5,1.84,4.6
Ford EcoSport 1.5 TDCi Titanium,Kolkata,2013,44000,Diesel,Manual,First,22.77,1498,98.59,5,16.48,4.9
Honda City 1.5 S MT,Hyderabad,2012,67635,Petrol,Manual,First,17,1497,118,5,82.3,5.25
Ford EcoSport 1.5 Petrol Titanium Plus AT,Coimbatore,2018,18385,Petrol,Automatic,First,14.8,1497,121.36,5,51.42,12.41
Volkswagen Polo Diesel Highline 1.2L,Kolkata,2014,35000,Diesel,Manual,First,22.07,1199,73.9,5,98.99,3.8
Mercedes-Benz New C-Class C 220 CDI Avantgarde,Mumbai,2010,49000,Diesel,Automatic,First,19.27,2143,170,5,53.98,8.95
Ford Ecosport 1.5 DV5 MT Titanium,Hyderabad,2013,69000,Diesel,Manual,First,22.7,1498,89.84,5,63.94,7.2
Tata Indigo GLE,Hyderabad,2017,23228,Petrol,Manual,First,14.4,1396,65,5,90.61,4.5
Maruti Swift Dzire LDI,Delhi,2014,68462,Diesel,Manual,First,26.59,1248,74,5,36.17,4.15
Maruti S-Cross Zeta DDiS 200 SH,Coimbatore,2016,74611,Diesel,Manual,First,25.1,1248,88.5,5,51.2,7.94
Renault Duster 110PS Diesel RxZ Pack,Pune,2014,90000,Diesel,Manual,First,19.01,1461,108.45,5,81.35,7.25
Maruti Wagon R VXI,Delhi,2016,22000,Petrol,Manual,First,18.9,998,67.1,5,77.82,3.7
Hyundai Santro Xing GL,Hyderabad,2010,58163,Petrol,Manual,First,0,1086,62,5,92.9,2.45
Chevrolet Beat Diesel LT,Chennai,2011,109500,Diesel,Manual,Third,25.44,936,57.6,5,40.96,1.5
Mahindra XUV500 W4 1.99 mHawk,Delhi,2017,13363,Diesel,Manual,First,16,1997,140,7,56.07,12
Hyundai i10 Era 1.1,Delhi,2012,51000,Petrol,Manual,Second,19.81,1086,68.05,5,21.92,2.2
Tata New Safari DICOR 2.2 EX 4x4,Hyderabad,2007,103000,Diesel,Manual,First,13.93,2179,138,7,95.19,3.6
Hyundai i10 Sportz,Kolkata,2009,43002,Petrol,Manual,First,20.36,1197,78.9,5,21.35,1.92
Toyota Innova Crysta 2.8 ZX AT,Bangalore,2016,108000,Diesel,Automatic,First,11.36,2755,171.5,7,98.13,20.5
Skoda Laura Elegance MT,Jaipur,2010,82407,Diesel,Manual,First,17.5,1896,106,5,0.9,4.25
Hyundai Grand i10 Sportz,Kolkata,2013,29000,Petrol,Manual,First,18.9,1197,82,5,95.1,3.2
Toyota Etios Liva GD,Pune,2012,225000,Diesel,Manual,Second,23.59,1364,null,5,55.04,2.6
Maruti Swift Dzire VDI,Kolkata,2014,45000,Diesel,Manual,First,23.4,1248,74,5,61.75,3.85
Hyundai i20 Asta 1.4 CRDi (Diesel),Kochi,2010,93401,Diesel,Manual,First,23,1396,90,5,37.95,3.48
Ford Figo 2015-2019 1.5D Trend MT,Hyderabad,2017,95802,Diesel,Manual,Second,25.83,1498,99,5,96.82,4.55
Maruti Ertiga VDI,Pune,2016,130000,Diesel,Manual,First,25.47,1248,88.5,7,16.82,7
Maruti Ertiga ZDI,Ahmedabad,2013,67443,Diesel,Manual,First,20.77,1248,88.8,7,62.48,5.75
Honda City 1.5 V AT Sunroof,Kochi,2016,47681,Petrol,Automatic,First,16.8,1497,116.3,5,30.9,8.73
Maruti Alto LXi BSIII,Hyderabad,2009,35000,Petrol,Manual,First,19.7,796,46.3,5,47.64,1.7
Ford Endeavour 3.2 Titanium AT 4X4,Hyderabad,2016,68000,Diesel,Automatic,First,10.91,3198,197,7,82.3,29.5
Maruti Vitara Brezza ZDi Plus,Kochi,2019,34688,Diesel,Manual,First,24.3,1248,88.5,5,68.33,10.49
Porsche Boxster S tiptronic,Kolkata,2015,10512,Petrol,Automatic,First,8.6,2706,265,2,15.62,64
Maruti Swift ZDi,Pune,2016,58000,Diesel,Manual,First,22.9,1248,74,5,22.49,7.55
Tata Zest Revotron 1.2 XT,Mumbai,2014,40000,Petrol,Manual,First,17.57,1193,88.7,5,88.16,3.95
Hyundai i20 1.2 Sportz Option,Bangalore,2010,61000,Petrol,Manual,Fourth & Above,17,1197,80,5,82.93,3.25
Skoda Fabia 1.4 TDI Active,Mumbai,2009,86000,Diesel,Manual,First,19.4,1422,70,5,70.02,2.75
Toyota Corolla Altis D-4D J,Kolkata,2015,45000,Diesel,Manual,First,21.43,1364,87.2,5,40.09,7.35
Volkswagen Ameo 1.2 MPI Comfortline,Ahmedabad,2017,55000,Petrol,Manual,First,17,1198,73.75,5,69.52,4.7
Hyundai Creta 1.6 VTVT S,Kochi,2016,36855,Petrol,Manual,Second,15.29,1591,121.3,5,27.34,8.77
Hyundai i10 Magna 1.2,Kochi,2013,46821,Petrol,Manual,First,20.36,1197,78.9,5,10.04,3.42
Chevrolet Beat LS,Kolkata,2015,120000,Petrol,Manual,First,18.6,1199,76.8,5,90.47,2.5
Jaguar XF 3.0 Litre S Premium Luxury,Kolkata,2012,29000,Diesel,Automatic,First,14.74,2993,270.9,5,67.58,20
Nissan Terrano XL,Mumbai,2014,40000,Petrol,Manual,First,13.24,1598,102.5,5,31.28,5.25
Audi Q3 2012-2015 2.0 TDI Quattro Premium Plus,Delhi,2013,60000,Diesel,Automatic,Second,15.73,1968,174.33,5,94.76,14.5
Hyundai i10 Asta AT,Mumbai,2011,64984,Petrol,Automatic,First,16.95,1197,78.9,5,9.4,3.45
Maruti Alto K10 VXI AGS,Pune,2015,73204,Petrol,Automatic,First,24.07,998,67.1,5,94.54,3.3
Audi Q7 4.2 TDI Quattro Technology,Bangalore,2014,50000,Diesel,Automatic,First,11.33,4134,335.2,7,60.8,51
Maruti Vitara Brezza VDi,Kolkata,2017,35000,Diesel,Manual,First,24.3,1248,88.5,5,53.56,6.5
Hyundai EON D Lite Plus,Hyderabad,2013,17729,Petrol,Manual,First,21.1,814,55.2,5,7.69,3.65
Mahindra XUV300 W8 Diesel,Chennai,2012,97000,Diesel,Manual,First,20,1497,115,5,15.5,7.25
Hyundai Verna CRDi 1.6 SX Option,Kochi,2014,89614,Diesel,Manual,First,22,1582,126.2,5,92.55,6.01
Maruti Wagon R VXI,Kolkata,2015,14000,Petrol,Manual,First,18.9,998,67.1,5,93.32,2.8
Hyundai i20 Sportz Option,Chennai,2012,50000,Petrol,Manual,First,17,1197,80,5,39.51,4
Honda City i VTEC V,Delhi,2014,62505,Petrol,Manual,First,17.4,1497,117.3,5,63.08,5.95
Toyota Innova 2.5 V Diesel 7-seater,Chennai,2011,248000,Diesel,Manual,Second,12.8,2494,102,7,61.03,9.2
Hyundai Verna CRDi SX,Pune,2012,94900,Diesel,Manual,First,16.8,1493,110,5,71,5.35
Tata Hexa XT,Delhi,2017,55000,Diesel,Manual,First,17.6,2179,153.86,7,66.64,12
Audi Q7 3.0 TDI Quattro Premium Plus,Coimbatore,2015,53735,Diesel,Automatic,Second,12.07,2967,241.4,7,33.25,38.94
Maruti Wagon R VXI,Coimbatore,2008,53934,Petrol,Manual,Second,18.9,998,67.1,5,9.12,2.69
BMW 5 Series 2013-2017 525d Luxury Line,Bangalore,2013,58500,Diesel,Automatic,Second,17.09,1995,218,5,67.75,27.5
Honda Amaze EX i-Vtech,Kolkata,2014,48000,Petrol,Manual,First,18,1198,86.7,5,20.74,2.75
Maruti Alto 800 2016-2019 LXI,Mumbai,2016,24000,Petrol,Manual,First,24.7,796,47.3,5,62.18,2.8
Hyundai Verna 1.6 SX VTVT,Mumbai,2016,52001,Petrol,Manual,First,17.01,1591,121.3,5,45.89,6.45
Tata Tiago 1.2 Revotron XZ,Coimbatore,2018,9565,Petrol,Manual,First,23.84,1199,84,5,21.98,5.88
Maruti Swift LXI,Pune,2013,32953,Petrol,Manual,First,18.6,1197,85.8,5,89.77,4.65
Hyundai EON Era,Jaipur,2014,18000,Petrol,Manual,First,21.1,814,55.2,5,25.43,2.5
Mercedes-Benz E-Class E 220 d,Kochi,2018,20446,Petrol,Automatic,First,12.6,1950,191.34,5,54.95,51.35
Hyundai i20 Magna 1.4 CRDi,Hyderabad,2016,33016,Diesel,Manual,First,22.54,1396,88.73,5,75.99,6.85
Toyota Etios VD,Chennai,2012,48000,Diesel,Manual,First,23.59,1364,67.05,5,65.05,5.25
Toyota Corolla Altis Diesel D4DG,Coimbatore,2014,72022,Diesel,Manual,First,21.43,1364,87.2,5,27.27,9.23
Mini Cooper 5 DOOR D,Ahmedabad,2014,34000,Diesel,Automatic,First,20.7,1496,113.98,5,17.89,22
Volkswagen Polo 1.5 TDI Highline,Hyderabad,2014,69000,Diesel,Manual,First,20.14,1498,88.8,5,54.61,5.19
Skoda Superb Elegance 1.8 TSI AT,Pune,2009,108000,Petrol,Automatic,First,13.7,1798,157.75,5,4.79,4.35
Mercedes-Benz E-Class 2009-2013 E 220 CDI Avantgarde,Hyderabad,2013,34700,Diesel,Automatic,First,10,2148,170,5,51.63,24.5
Maruti Swift VDi BSIII W/ ABS,Pune,2015,79000,Diesel,Manual,First,17.8,1248,75,5,67.08,5.75
Honda City i VTEC CVT VX,Kochi,2016,58197,Petrol,Automatic,First,18,1497,117.3,5,89.44,9.19
BMW 7 Series 2007-2012 740Li,Pune,2008,66000,Petrol,Automatic,Second,8.45,2979,321,5,25.8,10.75
Hyundai i10 Magna AT,Bangalore,2009,60000,Petrol,Automatic,First,19.2,1197,80,5,39.73,2.99
Maruti Swift Dzire VDI,Kolkata,2014,57000,Diesel,Manual,First,26.59,1248,74,5,42.67,3.89
Honda City i DTec VX,Coimbatore,2018,45555,Diesel,Manual,First,26,1498,98.6,5,67.04,11.73
Maruti Omni 8 Seater BSIV,Coimbatore,2016,55137,Petrol,Manual,First,14,796,35,5,52.59,3.11
Skoda Superb 2009-2014 Elegance 2.0 TDI MT,Jaipur,2014,93325,Diesel,Manual,Second,17.2,1968,138.1,5,19.37,14.45
Maruti Ertiga SHVS VDI,Ahmedabad,2018,38000,Diesel,Manual,First,24.52,1248,88.5,7,67.39,8.7
Hyundai Grand i10 CRDi Magna,Kochi,2016,57738,Diesel,Manual,First,24,1120,70,5,59.67,5.04
Maruti Ciaz VDi Plus SHVS,Jaipur,2017,38282,Diesel,Manual,First,28.09,1248,88.5,5,71.41,8.5
Mercedes-Benz New C-Class C 220 CDI Avantgarde,Delhi,2014,64000,Diesel,Automatic,First,19.27,2143,170,5,80.78,15.65
Fiat Avventura MULTIJET Emotion,Mumbai,2015,32000,Diesel,Manual,First,20.5,1248,91.72,5,37.19,5.65
Mercedes-Benz E-Class 2009-2013 E 250 Elegance,Bangalore,2010,83000,Petrol,Automatic,First,10.93,2497,204,5,58.36,16.5
Maruti Zen Estilo LXI Green (CNG),Ahmedabad,2011,76000,CNG,Manual,First,26.3,998,67.1,5,80.55,2
Volkswagen Vento Petrol Highline,Pune,2012,67200,Petrol,Manual,First,15.04,1598,103.6,5,85.37,3.9
BMW 3 Series 320d Luxury Line,Jaipur,2013,62655,Diesel,Automatic,First,18.88,1995,184,5,95.5,14.5
BMW 5 Series 2013-2017 530d M Sport,Bangalore,2015,16900,Diesel,Automatic,First,14.69,2993,258,5,52.29,44
Hyundai Grand i10 1.2 Kappa Magna,Delhi,2017,8471,Petrol,Manual,First,18.9,1197,81.86,5,92.11,5
Toyota Innova Crysta 2.8 ZX AT,Hyderabad,2016,69000,Diesel,Automatic,First,11.36,2755,171.5,7,1.02,19.75
Renault Duster 110PS Diesel RxZ AMT,Coimbatore,2017,30090,Diesel,Automatic,First,19.6,1461,108.45,5,44.29,11.44
Tata Indica Vista Aura 1.3 Quadrajet,Chennai,2011,120000,Diesel,Manual,First,18,1248,75,5,53.4,1.75
Maruti Swift VDI BSIV,Bangalore,2013,23000,Diesel,Manual,First,17.8,1248,null,5,72.92,5.6
Mercedes-Benz E-Class 2009-2013 E 200 CGI Avantgarde,Kochi,2016,35939,Petrol,Manual,First,12.3,1796,185,5,7.06,30.42
Mahindra XUV500 W8 4WD,Coimbatore,2013,116694,Diesel,Manual,First,15.1,2179,140,7,32.93,9.57
Mahindra Bolero ZLX,Mumbai,2016,40448,Diesel,Manual,First,15.96,2523,62.1,7,24.3,3.5
Maruti Vitara Brezza ZDi,Coimbatore,2018,64456,Diesel,Manual,First,24.3,1248,88.5,5,49,10.46
Fiat Avventura MULTIJET Emotion,Pune,2014,52782,Diesel,Manual,First,20.5,1248,91.72,5,4.75,4.85
Honda Amaze S Petrol,Kochi,2016,51672,Petrol,Manual,First,19.5,1199,88.76,5,20.28,5.68
Skoda Superb Elegance 1.8 TSI AT,Mumbai,2015,56073,Petrol,Automatic,First,13.7,1798,157.75,5,25.72,13.25
Jaguar XF 3.0 Litre S Premium Luxury,Bangalore,2011,65000,Diesel,Automatic,First,14.74,2993,270.9,5,0.79,16
Maruti Wagon R VXI BSIII,Chennai,2013,79000,Petrol,Manual,First,18.9,998,67.1,5,70.87,3
Hyundai Santro Xing XL eRLX Euro III,Kolkata,2007,43206,Petrol,Manual,First,17,1086,null,5,71.96,0.99
Toyota Corolla Altis VL,Mumbai,2010,70200,Petrol,Automatic,First,14.53,1798,138.1,5,0.2,5
Maruti Swift VXi BSIV,Delhi,2016,42000,Petrol,Manual,First,16.1,1197,85,5,47.96,4.75
Volkswagen Polo 1.2 MPI Highline,Bangalore,2014,62000,Petrol,Manual,First,16.47,1198,74,5,62.89,5.35
Hyundai Grand i10 1.2 Kappa Asta,Hyderabad,2017,20000,Petrol,Manual,First,18.9,1197,81.86,5,5.48,5.98
Maruti SX4 ZDI,Chennai,2011,80000,Diesel,Manual,Third,21.5,1248,88.8,5,16.74,3.5
Hyundai Grand i10 1.2 Kappa Magna,Kochi,2018,50234,Petrol,Manual,First,18.9,1197,81.86,5,8.24,4.77
Maruti Baleno Delta 1.2,Delhi,2016,50003,Petrol,Manual,First,21.4,1197,83.1,5,38.61,5.45
Tata Tigor 1.2 Revotron XTA,Ahmedabad,2018,1000,Petrol,Automatic,First,20.3,1199,84,5,51.94,6.85
Maruti Swift Dzire AMT ZDI,Jaipur,2016,54897,Diesel,Automatic,First,26.59,1248,74,5,52.61,7.3
Tata Indica GLS BS IV,Pune,2007,108995,Petrol,Manual,First,15.3,1193,65.3,5,50.26,1.25
Maruti SX4 S Cross DDiS 320 Zeta,Chennai,2015,73000,Diesel,Manual,First,22.7,1598,118,5,12.96,8.25
Maruti Swift VXI BSIII,Ahmedabad,2008,65000,Petrol,Manual,First,16.1,1298,88.2,5,57.06,2.71
Hyundai Xcent 1.2 Kappa SX,Kolkata,2016,32000,Petrol,Manual,First,19.1,1197,82,5,31.96,3.6
Hyundai i20 1.2 Magna,Ahmedabad,2010,65000,Petrol,Manual,First,18.5,1197,80,5,34.69,3
Maruti Celerio VXI AT,Hyderabad,2016,21600,Petrol,Automatic,First,23.1,998,67.04,5,72.39,4.65
Mercedes-Benz New C-Class C 220 CDI Elegance AT,Mumbai,2010,39000,Diesel,Automatic,First,14.84,2143,170,5,33.21,9.5
Maruti Swift Dzire VXi,Mumbai,2011,58075,Petrol,Manual,First,17.5,1298,85.8,5,30.92,2.95
Volkswagen Vento Petrol Trendline,Mumbai,2011,58000,Petrol,Manual,First,15.04,1598,103.6,5,9.91,3
Maruti Swift ZDi,Hyderabad,2015,58000,Diesel,Manual,First,25.2,1248,74,5,51.63,5.95
Toyota Corolla Altis VL,Delhi,2008,89000,Petrol,Automatic,First,14.53,1798,138.1,5,19.52,4
Honda Civic 2006-2010 1.8 V MT,Delhi,2008,72000,Petrol,Manual,First,13.5,1799,130,5,54.09,2.5
Ford EcoSport 1.5 Ti VCT AT Titanium BE,Kolkata,2017,1800,Petrol,Automatic,First,16.05,1499,110.4,5,52.75,11.37
Fiat Linea Emotion Pack (Diesel),Pune,2010,172050,Diesel,Manual,Second,19,1248,93,5,55.18,2.25
Hyundai i10 Era,Jaipur,2013,46230,Petrol,Manual,First,19.81,1086,68.05,5,56.36,3.1
Volvo XC60 D5 Inscription,Kochi,2014,86925,Diesel,Automatic,First,11.2,2400,215,5,75.81,17.18
Hyundai i20 1.2 Asta,Jaipur,2018,5000,Petrol,Manual,First,18.6,1197,81.83,5,25.63,6.5
Honda City i DTEC S,Ahmedabad,2014,66000,Diesel,Manual,First,26,1498,98.6,5,10.3,5.7
Toyota Innova 2.5 VX (Diesel) 8 Seater BS IV,Ahmedabad,2013,119000,Diesel,Manual,First,12.99,2494,100,8,83.15,8
Renault KWID RXT,Chennai,2016,45000,Petrol,Manual,First,25.17,799,53.3,5,87.4,2.6
Maruti A-Star Vxi,Hyderabad,2009,66149,Petrol,Manual,First,19,998,66.1,5,41.72,2.45
Mercedes-Benz B Class B180,Kochi,2014,42070,Petrol,Automatic,First,14.8,1595,120.7,5,50.97,11.57
Maruti Wagon R LXI BS IV,Kolkata,2012,35503,Petrol,Manual,First,18.9,998,67.1,5,87.55,2.3
Maruti Swift VDI BSIV,Jaipur,2016,41460,Diesel,Manual,First,25.2,1248,74,5,72.2,5.9
Hyundai Verna VTVT 1.6 AT SX Option,Mumbai,2015,40600,Petrol,Automatic,First,17,1591,121.3,5,77,7.2
Hyundai Verna CRDi 1.6 AT SX Option,Ahmedabad,2013,87000,Diesel,Automatic,First,22,1582,126.2,5,75.74,5.9
Honda City V MT,Chennai,2014,30000,Petrol,Manual,Second,16.8,1497,116.3,5,92.62,6
Hyundai i10 Magna Optional 1.1L,Kolkata,2010,27089,Petrol,Manual,First,16,1086,66.7,5,36.56,1.95
Toyota Etios GD SP,Coimbatore,2016,53702,Diesel,Manual,First,23.59,1364,67.04,5,87.21,6.55
Volvo S60 D4 Momentum,Hyderabad,2015,51000,Diesel,Automatic,First,27.03,1969,190,5,82.86,25
